date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:03	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2015%20Jul%202018%2008:54:02%20GMT	https://fonts.googleapis.com/robots.txt		(from https://kpowers.se/demo/html/aero/bubbles/index.html)
14:24:04	10184/10184	---M--	200	added ('OK')	image/png	etag:%2227c8-56e331a3ac580%22	https://kpowers.se/demo/html/aero/bubbles/img/logos/5.png	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/logos/5.png	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:05	359933/359933	---M--	200	added ('OK')	image/jpeg	etag:%2257dfd-56f7ac0451780%22	https://kpowers.se/demo/html/aero/bubbles/img/about.jpg	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/about.jpg	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:05	6579/6579	---M--	200	added ('OK')	image/png	etag:%2219b3-56e331a3ac580%22	https://kpowers.se/demo/html/aero/bubbles/img/logos/6.png	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/logos/6.png	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:06	9916/9916	---M--	200	added ('OK')	image/png	etag:%2226bc-56e331a3ac580%22	https://kpowers.se/demo/html/aero/bubbles/img/logos/7.png	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/logos/7.png	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:07	9464/9464	---M--	200	added ('OK')	image/png	etag:%2224f8-56e331a3ac580%22	https://kpowers.se/demo/html/aero/bubbles/img/logos/9.png	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/logos/9.png	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:08	44823/44823	---M--	200	added ('OK')	image/jpeg	etag:%22af17-56e3324b85180%22	https://kpowers.se/demo/html/aero/bubbles/img/team/1.jpg	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/team/1.jpg	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:09	54565/54565	---M--	200	added ('OK')	image/jpeg	etag:%22d525-56e3324b85180%22	https://kpowers.se/demo/html/aero/bubbles/img/team/2.jpg	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/team/2.jpg	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:10	35908/35908	---M--	200	added ('OK')	image/jpeg	etag:%228c44-56e3324b85180%22	https://kpowers.se/demo/html/aero/bubbles/img/team/3.jpg	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/team/3.jpg	(from https://kpowers.se/demo/html/aero/bubbles/about.html)
14:24:11	55046/55046	---M--	200	added ('OK')	image/jpeg	etag:%22d706-56e332255f780%22	https://kpowers.se/demo/html/aero/bubbles/img/posts/1.jpg	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/img/posts/1.jpg	(from https://kpowers.se/demo/html/aero/bubbles/blog.html)
14:24:12	8183/8183	---M-Z	200	added ('OK')	text/html	etag:%221ff7-56febd939e100-gzip%22	https://kpowers.se/demo/html/aero/bubbles/post-slideshow.html	/Users/tarunangrish/websites/Aero/kpowers.se/demo/html/aero/bubbles/post-slideshow.html	(from https://kpowers.se/demo/html/aero/bubbles/blog.html)
